city,bucket,doc,n_articles,sent_mean,cue_sum
Al Saadah,2024-02-01,guerre israël – gaza : lattitude incompréhensible de l égypte dal - sissi,1,0.4588,0
Al-Bab,2024-02-01,sohr : turkey continues to forcibly deport syrian refugees november 2016 | countercurrents security council : the situation in the middle east - syrian arab republic « զանգեզուրի միջանցքի » բացման ռուս - թուրքական շահագրգռություններն ու այնտեղ իդլիբի տարբերակի կիրառման հավանականությունը – ազգ,4,0.085,0
Al-Bab,2024-03-01,"مسلسل الحشاشين الحلقة 2| كواليس اللقاء الأول بين وزير الدولة الفاطمية وحسن الصباح everything is by the power of the weapon : abuses and impunity in turkish - occupied northern syria [ en / ar / ku / tr ] - syrian arab republic syria : abuses , impunity in turkish - occupied territories , says hrw syria : abuses , impunity in turkish - occupied territories വെറും മണ്ണും മരങ്ങളും ഓർമകളുമല്ല മാതൃരാജ്യം - keraleeyam web magazine عن الاستراتيجية الصينية حيال غزة",6,-0.3025166666666667,0
Al-Bab,2024-04-01,"mil - osi united nations : security council hears briefings on political , humanitarian situation in syria",1,0.6369,0
Al-Faw,2024-02-01,العراق يدعو دول العالم لوضع حدّ لحرب « الإبادة الجماعية » ضد الفلسطينيين,1,0.0,0
Al-Faw,2024-03-01,turkey to launch iraq military assault to secure road - rail project to gulf إنجازات وتحديات – كتابات a china – iran – pakistan alliance in the making,3,-0.11333333333333334,0
Al-Faw,2024-04-01,drone strikes break calm in sudan التطبيق الاستراتيجي .. خطوط الدم !! – كتابات what is iraq development road and will it challenge us and china trade routes ? الخيارات محدودة .. حسابات سياسية تُجمّد إلغاء اتفاقية خور عبد الله مع الكويت العراق يحظر حزب العمال الكردستاني .. فهل حقق أردوغان هدف أنقرة المنشود ؟,5,0.005120000000000001,0
Al-Nasr,2024-02-01,"resistance leader killed in bombing in iraq qrcs , eaa deliver life - saving aid in gaza newton of gaza : palestinian kid helps in generating electricity from wind kazma overcomes al - qadisiya in nail - biting encounter - arab times al - arabi and al - qadisiya renew rivalry in amir cup semifinals - arab times qrcs , eaa deliver life - saving aid in gaza [ en / ar ] - occupied palestinian territory over 50 palestinians killed as israel genocidal war on gaza continues we started a group chat to help fellow doctors in gaza . then it went quiet operation al - aqsa flood day 135 : israel war on gaza hospitals continues – mondoweiss operation iron swords middle east , biden calls netanyahu : no to an attack on rafah without protecting civilians at least 107 killed in gaza in last 24 hours , death toll climbs to 27 , 238 🔴 live updates : israel kills dozens of palestinians in gaza , fear of spillover grows after us strikes - war on gaza - war on gaza gaza : israel systematically uses quadcopters to kill palestinians from a close distance [ en / ar ] - occupied palestinian territory operation iron swords opinion | gaza lost gathering places : 14 oral histories operation iron swords operation iron swords",18,-0.26702777777777775,1
Al-Nasr,2024-03-01,"zain premier league resumes as al - qadisiya vs al - fahaheel kick starts exciting weekend - arab times συνεχίζεται για 175η μέρα η σφαγή του παλαιστινιακού λαού - στους 32 . 623 οι νεκροί ( video ) israeli army left infants to die in al - nasr children hospital : palestinian doctor al - qadisiya hands kuwait club its first loss in the league - arab times الوكالة الوطنية للإعلام - 30 palestinians killed in israeli bombing of gaza home αίγυπτος : καταδίκη σε θάνατο οκτώ ηγετών των αδελφών μουσουλμάνων israeli strikes on central gaza nuseirat camp kill at least 36 palestinians cabo verde tame golden jaguars in jeddah αίγυπτος : οκτώ ηγέτες των αδελφών μουσουλμάνων καταδικάστηκαν σε θάνατο αίγυπτος : καταδίκη σε θάνατο για 8 ηγέτες των αδελφών μουσουλμάνων αίγυπτος : οκτώ ηγέτες των αδελφών μουσουλμάνων καταδικάστηκαν σε θάνατο αίγυπτος : οκτώ ηγέτες των αδελφών μουσουλμάνων καταδικάζονται σε θάνατο αίγυπτος : οκτώ ηγέτες των αδελφών μουσουλμάνων καταδικάστηκαν σε θάνατο αίγυπτος : οκτώ ηγέτες των αδελφών μουσουλμάνων καταδικάζονται σε θάνατο day 157 update : israeli missiles kill dozen in gaza gaza : 107 palestinians killed , 178 injured by israeli bombardments last 24 hours - the muslim news αίγυπτος : οκτώ ηγέτες των αδελφών μουσουλμάνων καταδικάζονται σε θάνατο αίγυπτος : ηγέτες των αδελφών μουσουλμάνων σε θάνατο gaza live blog : more hospitals under attack | israeli soldiers killed in gaza | israel waits response from hamas - day 170 israel bears full responsibility for war on gaza 209 ملايين درهم حجم الإنفاق على برامج الرعاية الصحية gaza : 81 palestinians killed , 93 wounded by israeli attacks last 24 hours - the muslim news israel storms the last four hospitals still open in gaza gaza : 62 palestinians killed , 91 injured by israeli strikes last 24 hrs - the muslim news in gaza , starving children fill hospital wards as famine looms in gaza , starving children fill hospital wards as famine looms in gaza , starving children fill hospital wards as famine looms insight - in gaza , starving children fill hospital wards as famine looms in gaza , starving children fill hospital wards as famine looms محمد بن راشد يترأس مجلس الأمناء ويعلن النتائج السنوية لأعمال « مبادرات محمد بن راشد آل مكتوم العالمية » في 2023",30,-0.30449,1
Al-Nasr,2024-04-01,"al - hilal aims to extend a remarkable winning streak data of 8 million israelis reportedly hacked by makhlab al nasr πλήθος ισραηλινών τανκς συγκεντρώνεται στην περιοχή της ράφα , εν μέσω συνεχών βομβαρδισμών cristiano ronaldo among barca legend top 5 players not lionel messi ο ρονάλντο χτύπησε αντίπαλο και πήγε να επιτεθεί σε διαιτητή - φωτο kazma inches closer to zain premier league safety 38 palestinians become victims of israeli military operations in gaza strip in 24 hours gaza : 38 palestinians killed , 47 injured by israeli bombardment last 24hrs - the muslim news operation iron swords the global health community must call for an immediate ceasefire and unrestricted humanitarian aid in gaza أولى الاقتصادية الخميس 18 أبريل 2024 frankly speaking : what hope is there for gaza children ? when the flames of war are blazing in gaza ! – sri lanka guardian the biden administration middle east policy at a time of war : an assessment of us policy six months into the israel - hamas war the new humanitarian | if we survive : palestinians in rafah on fears of an imminent israeli invasion",15,-0.10132666666666669,0
