city,bucket,doc,n_articles,sent_mean,cue_sum
Old City,2024-04-01,"terror attacks : police officer stabbed in old city , another officer hit by car in samaria ramming turkish national stabs israeli policeman in jerusalem , is shot dead turkish national stabs israeli policeman in jerusalem , is shot dead - police statement ισραήλ : τούρκος υπήκοος επιτέθηκε σε αστυνομικό με μαχαίρι – νεκρός ο δράστης επίθεση με μαχαίρι κατά ισραηλινού αστυνομικού στην ιερουσαλήμ apple embroiled in anti - semitism row after iphone update ισραήλ : αστυνομικός τραυματίστηκε σε επίθεση με μαχαίρι ισραήλ : τούρκος επιτέθηκε με μαχαίρι σε αστυνομικό – ο δράστης σκοτώθηκε ισραήλ : τούρκος επιτέθηκε με μαχαίρι σε αστυνομικό οι ισραηλινοί σκότωσαν τούρκο στην ιερουσαλήμ - πήγε να επιτεθεί με μαχαίρι σε αστυνομικό jérusalem : un policier israélien poignardé par un citoyen turc dans la vieille ville τούρκος επιτέθηκε με μαχαίρι σε αστυνομικό jérusalem : un policier israélien poignardé par un citoyen turc dans la vieille ville argentina expresa su compromiso inclaudicable con israel tras el ataque de irán 首度從本土攻擊 伊朗飛彈夜襲以色列 | 中東局勢升溫 | 全球 ισραήλ : τούρκος επιτέθηκε με μαχαίρι σε αστυνομικό – ο δράστης σκοτώθηκε turkish tourist moderately wounds cop in jerusalem stabbing attack méxico tiene 9 zonas arqueológicas donde te puedes refugiar en caso de una guerra y te explicamos por qué συναγερμός στην ιερουσαλήμ : νεκρός έπεσε τούρκος που μαχαίρωσε αστυνομικό έξω από τμήμα os maiores patrimônios de gaza salvos por ironia da história البيضاء .. مقتل وإصابة 4 في اشتباكات بين مسلحين قبليين أمام مستشفى برداع liban : malgré la guerre aux frontières du pays , le ramadan illumine la ville de saïda , on a besoin de partager des moments de joie photos : jerusalem sacred crossroads endures in a time of war après lattaque de liran contre israël , témoignages dhabitants de jérusalem sous le choc et divisés moyen - orient . un policier israélien poignardé par un citoyen turc à jérusalem moyen - orient . un policier israélien poignardé par un citoyen turc à jérusalem rabbis take stand against abuse of christians in jerusalem old city | jns нічна атака рф на україну , вибухи у білгороді : головне за ніч posturas mixtas frente al ataque de irán a israel en américa latina el régimen de irán redujo su presencia militar en siria tras el ataque al consulado en damasco atribuido a israel guernica en llamas : un golpe al corazón del país vasco i̇srail polisine bıçakla saldırırken vurularak öldürülmüştü ! şanlıurfada görevli cami imamı olduğu ortaya çıktı ! ürdünden filistine geçiş yapmış photos : jerusalem sacred crossroads endures in a time of war կոչ ենք անում հարգել « կովերի պարտեզում » հայերի իրավունքները ․ լեմկինի ինստիտուտ lurer . com | կոչ ենք անում հարգել « կովերի պարտեզում » հայերի իրավունքները ․ լեմկինի ինստիտուտ ισραήλ : τούρκος επιτέθηκε με μαχαίρι σε αστυνομικό - ο δράστης σκοτώθηκε norveçdə ramazan bayramı ərəfəsində ciddi təhlükəsizlik tədbirləri görülüb müslümanlar mescid - i aksaya akýn etti ukrajina vs . rusko : aktuální situace na ukrajině online ukrajina vs . rusko : aktuální situace na ukrajině online تصاعد في عمليات المقاومة .. شهيد وعملية دهس قرب قلقيلية واشتباكات بالضفة الغربية 無視美國譴責 以色列在穆斯林開齋節照常轟炸加薩 | 國際 երուսաղեմի ոստիկանները բռնի գործողություն են իրականացրել հայ հոգևորականների ու տեղացի հայերի նկատմամբ 无视美国谴责 以色列在穆斯林开斋节照常轰炸加萨 mescid - i aksada 120 bin müslüman ramazanın son cuma namazını kıldı santo del día 23 de abril : san jorge . santoral católico watch : border police foil stabbing attack in old city of jerusalem – the yeshiva world këlliçi : nuk tërhiqemi deri në largimin e veliajt nga bashkia e tiranës . shihemi në protestën e radhës arvadını boşayan kişi atəşfəşanlıq etdi javën tjetër shihemi në protestën e rradhës këlliçi : ne nuk tërhiqemi pa larguar nga zyra kryehajdutin e tiranës i̇srail polisinin türk vatandaşını öldürdüğü anlar kamerada терехов : без допомоги сша харків може стати « другим алеппо » nuk tërhiqemi , këlliçi : javën tjetër , sërish protestë para bashkisë së tiranës destroying cultural heritage i̇srail polisinin türk vatandaşını öldürdüğü anlar kamerada reuters world news summary iranian foreign ministry demands probe into israel war crime at al shifa hospital երուսաղեմի հայ համայնքը կոչ է արել միջազգային հանրությանն աջակցել թաղամասի պաշտպանությանը ՝ նրանք զինված են , մենք ՝ ոչ i̇srail polisi bir türk vatandaşını öldürdü i̇srail polisinin öldürdüğü türk kim ? hasan saklanan kim nereli , memleketi neresi ? iran attack on israel did not keep christians from holy sites photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war photos : jerusalem sacred crossroads endures in a time of war blue state blues : witnessing miracles in the holy land blue state blues : witnessing miracles in the holy land watch : israeli border patrol stop teenage terrorist in jerusalem harga bawang merah di pasar lama kota serang naik gila - gilaan , pembelinya berkurang jerozolima : wielkanoc prawie bez zagranicznych pielgrzymów z powodu wojny jerozolima : wielkanoc prawie bez zagranicznych pielgrzymów z powodu wojny նրանք զինված են , մենք ՝ ոչ . երուսաղեմի հայ համայնքը կոչով դիմել է միջազգային հանրությանը новые армянские байки : израиль обвиняют в « этнических чистках » против армян",93,-0.24275483870967743,3
Old City,2024-05-01,ο τούρκος χασάν σακλανάν επιτέθηκε με μαχαίρι σε ισραηλινούς αστυνομικούς στην ιερουσαλήμ i̇srailde öldürülen şanlıurfalı imam için cenaze namazı burzliwa historia święta pracy . od strajków po pielgrzymki 1 maja – 130 lat burzliwej historii święta pracy,4,-0.13935,0
Qaboun,2024-02-01,سلامة يكتب : ارتحالك .. اسطورة شتاء | كتاب عمون | وكالة عمون الاخبارية علوَنة أبديّة وليست هيكلة !,2,0.0,0
Qalqilya,2024-02-01,"armed resistance to the israeli occupation is spreading in the west bank israeli forces arrest 21 palestinian terror suspects idf targets terrorist in jenin with drone strike during west bank op israel and hamas war : live updates ­ъћ┤ february 25 , 2024 قوات الاحتلال تقتحم مدينة قلقيلية ( فيديو ) hamas commander arrested in jenin top hamas terrorist captured in jenin raid ; 2 soldiers wounded israeli forces arrest 21 palestinian terror suspects جريدة الرياض | العدوان على غزة يدخل شهره الـخامس israeli army kills palestinian youth in west bank raid - xinhua israeli army kills palestinian youth in west bank raid hamas commander and 18 others arrested in jenin counter - terrorism raid very limited clean water in gaza amid israel relentless bombing : un soldiers uncover booby - trapped tunnel in jenin refugee camp israel war on gaza : list of key events , day 146 | israel war on gaza news more than 90 , 000 palestinians killed or injured by israel in gaza israel continues to fight across multiple fronts israel war on gaza : list of key events , day 131 | israel war on gaza news biden trying to bypass the taylor force act to save a bankrupt palestinian authority | the jewish press - jewishpress . com | david israel | 9 adar i 5784 – sunday , february 18 , 2024 ðÿ ´ live updates : egypt , qatar , us and israel start 4 - way meeting in cairo to discuss prisoner swap and ceasefire deal in gaza war - war on gaza - war on gaza sanctioning settlers for peace operation iron swords operation al - aqsa flood day 142 : un experts call for immediate arms embargo on israel – mondoweiss operation iron swords live updates | bodies of 133 people killed in israeli strikes brought to gaza hospitals operation al - aqsa flood day 131 : israeli snipers force dozens to evacuate nasser hospital in khan younis , israel steps up bombing in lebanon – mondoweiss gaza : 118 palestinians killed , 163 injured by israeli bombings in last 24 hours - the muslim news live updates | bodies of 133 people killed in israeli strikes brought to gaza hospitals operation iron swords ( updated to 1 p . m ., february 12 , 2024 ) - the meir amit intelligence and terrorism information center live updates | china calls on israel to halt military operations in gaza as soon as possible live updates | bodies of 133 people killed in israeli strikes brought to gaza hospitals live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal operation iron swords live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal operation iron swords ( updated to 1 p . m ., february 25 , 2024 ) - the meir amit intelligence and terrorism information center live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal | infonews operation iron swords 625 , 000 palestinian children missed school since october as israel forges ahead with maniacal campaign against gaza - as it happened - war on gaza - war on gaza 🔴 live updates : sisi and erdogan call for immediate ceasefire in gaza war , reject all israeli attempts at displacing palestinians - war on gaza - war on gaza operation iron swords live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal operation iron swords ( updated to 1 p . m ., february 7 , 2024 ) - the meir amit intelligence and terrorism information center live updates | bodies of 133 people killed in israeli strikes brought to gaza hospitals live updates | bodies of 133 people killed in israeli strikes brought to gaza hospitals live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal live updates | gaza death toll mounts as negotiators cite progress on a cease - fire deal we cant watch genocide and do nothing . now is the time for renewed bds .",51,-0.4424333333333334,0
Qalqilya,2024-03-01,"al - aqsa brigades threaten : we will pursue you wherever you are al - aqsa brigades threaten : we will pursue you wherever you are over 7 , 300 palestinians arrested in west bank since outbreak of gaza war israeli occupation detains 25 palestinians in west bank shooting attack leaves 3 zionist settlers injured , iof stages widespread confrontations in the west bank over 7 , 300 palestinians arrested in west bank since outbreak of gaza war عشرات المستوطنين يقتحمون باحات الأقصى ... والاحتلال يواصل تشديد قيوده على المصلّين is­rael war on gaza : list of key events , day 165 | israel war on gaza news israeli occupation detains 25 palestinians in west bank اعتقالات في الضفة رافقتها مواجهات واشتباكات key terror operative among 22 detained in west bank : israel israel arrests 25 more palestinians in west bank raids key terror operative among 22 detained in west bank : israel ( ld ) key terror operative among 22 detained in west bank : israel ( ld ) israel detains 22 palestinians in west bank , including prisoners released in swap deal israel detains 22 palestinians in west bank , including prisoners released during november truce - world news israel detains 22 palestinians in west bank , including prisoners released during november truce israel detains 22 palestinians in west bank , including prisoners released during the nov truce israel detains 22 palestinians in west bank , including prisoners released in swap deal israel war on gaza : list of key events , day 148 | israel war on gaza news operation al - aqsa flood day 168 : u . s . advances un security council ceasefire resolution as al - shifa hospital siege enters fifth day – mondoweiss israel atrocities - live event reporting by dunya news iron bars , electric shocks , dogs and cigarette burns : how palestinians are tortured in israeli detention israel detains 22 palestinians in west bank , including prisoners released during november truce - xinhua live updates : nearly one million cases of infectious diseases detected in gaza press briefing by idf spokesperson , rear admiral daniel hagari , march 21 , 2024 return to shifa iran update , march 22 , 2024 operation iron swords ( updated to 1 p . m ., february 29 , 2024 ) - the meir amit intelligence and terrorism information center 🔴 live updates : spanish charity open arms aid boat readied out of larnaca to gaza as fighting rages before ramadan - war on gaza - war on gaza operation iron swords ( updated to 1 p . m ., march 14 , 2024 ) - the meir amit intelligence and terrorism information center iran update , march 22 , 2024 | institute for the study of war operation iron swords operation iron swords",34,-0.3788764705882353,2
Qalqilya,2024-04-01,"terror attack thwarted in jordan valley 2 israelis injured in palestinian shooting attack in west bank israel war on gaza : list of key events , day 180 | israel war on gaza news two israelis wounded in terror shooting two israelis wounded in samaria terror shooting - the 5 towns jewish times تصاعد في عمليات المقاومة .. شهيد وعملية دهس قرب قلقيلية واشتباكات بالضفة الغربية two wounded when terrorist opens fire on bus 25 palestinians detained in west bank , bringing tally to 8 , 270 since oct . 7 explosive found in car of terrorist who wounded two in samaria attack two wounded when terrorist opens fire on bus two wounded when terrorist opens fire on bus 2 israeli settlers injured in shooting attack in north of occupied west bank , palestinian resistance hails op . ( video ) محافظ قلقيلية اللواء حسام ابو حمدة يلتقي مدير عام الدفاع المدني اللواء العبد ابراهيم خليل - شبكة فلسطين للأنباء israeli settlers resume attacks on palestinian towns in occupied west bank israel shuts down a town in the occupied west bank , cancelling eid for palestinians two wounded when terrorist opens fire on bus the middle east times - international from jerusalem to hebron - israeli forces kill two as west bank tensions escalate why war in palestine will continue - newspaper operation al - aqsa flood day 185 : israel withdraws from khan younis , palestinian icon walid daqqa dies in israeli prison – mondoweiss نصف سنة حرب : العدو يفشل israel says investigation into un group involved in oct 7 fails to address fundamental flaws operation iron swords iran update , april 22 , 2024 | institute for the study of war israel says investigation into un group involved in october 7 fails to address fundamental flaws operation iron swords iran update , april 12 , 2024 | institute for the study of war iran update , april 9 , 2024 dozens of palestinians injured in attacks by settlers in west bank why war in palestine will continue operation iron swords",31,-0.4631290322580645,8
Qurna,2024-02-01,"中国在中东的经济利益远超美国 ， 但却难以有所作为 iran update , february 21 , 2024 | institute for the study of war",2,-0.2997,0
Qurna,2024-03-01,"نائب : القرنة خارج عن الزمن وشمال البصرة ينعم بالأمن الحشاشين الحلقة 20 .. من مفتي أصفهان لشيخ الأزهر قتل الجماعات الدينية لرجال الدين models and policies for oil production , revenue collection , and public expenditure : lessons in iraq أحمد الطيب .. شيخ الأزهر الرافض لكل أشكال التطبيع مع المحتل did agasthya muni have a solution for the world water conflicts ? iraq energy profile : second largest crude oil producer in opec – analysis",6,-0.0765,0
Qurna,2024-04-01,الوكالة الوطنية للإعلام - الحراش استنكر مقتل سليمان : لانتتظار التحقيقات واعتماد الحوار « زي النهارده ».. مصرع الرئيس العراقي عبدالسلام عارف 13 أبريل 1966 iraq hopes to expand economic relationship with the u . s . special briefing : iraqi prime minister visit to washington amidst regional escalations,4,0.2567,0
Qurum,2024-04-01,things to do in oman to have a memorable vacation,1,0.0,0
Ramallah,2024-02-01,"la razón por la que autoridades palestinas removieron la cúpula de las fuerzas de seguridad photos : humanitarian crisis grows in gaza as mediation attempts resume ucm başsavcısı khandan i̇srailli yetkililere uyarı חוסל מבוקש בטול כרם , לוחם נפצע קשה מבוקש בכיר חוסל בטולכרם , לוחם מג ב נפצע באורח קשה photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume photos : humanitarian crisis grows in gaza as mediation attempts resume knesset gegen einseitige gründung eines palästinenserstaats knesset gegen einseitige gründung eines palästinenserstaats היום ה - 135 למלחמה | שוטר מג ב נפצע קשה בפעילות בטולכרם ; שני פלסטינים נהרגו - מלחמה בדרום – עדכונים ירי מהחלון והפריצה לבית : תיעוד הפעילות בטול כרם tulkarem : security forces eliminate wanted terrorist . officer seriously wounded 17 מבוקשים נעצרו ביו ש , כספי טרור הוחרמו ברמאללה israel news : hisbollah feuert auf israelische luftwaffenbasis craintes pour rafah , nouveaux pourparlers en vue dune trêve israeli raid claims lives of two palestinian men in west bank violence against the backdrop of the maale adumim attack , these are the most prominent operations in jerusalem and the west bank since october 7 blinken au moyen - orient , vers un cinquième mois de guerre israël - hamas israel news : hisbollah feuert auf israelische luftwaffenbasis israele attacca in libano , lanp prepara il dopo guerra u . s . looking to bypass legal obstacles to keep palestinian authority afloat - report israeli settlers attack a palestinian ambulance in north of the west bank injuring a woman occupant knesset gegen einseitige gründung eines palästinenserstaats kuna : israeli occupation airstrike kills over 100 palestinians in rafah city - security israeli occupation airstrike kills over 100 palestinians in rafah city blinken au moyen - orient , vers un 5e mois de guerre israël - hamas guerra de israel contra hamás hoy 26 de febrero : dimite gobierno de la autoridad nacional palestina ; siguen ataques en la franja de gaza y más i̇srail , saldırılarını sürdürdüğü gazzede 340 doktor ve sağlık çalışanını öldürdü knesset gegen einseitige gründung eines palästinenserstaats knesset gegen einseitige gründung eines palästinenserstaats guerre israël - hamas : une frappe sur un commandant du hezbollah au liban , washington dénonce lopération à rafah blinken au moyen - orient , vers un cinquième mois de guerre israël - hamas",44,-0.27807045454545454,4
Ramallah,2024-03-01,"israel carries out biggest ramallah raid in years [ photos ] israel carries out raid in ramallah - newspaper israel carries out biggest ramallah raid in years tutti i dubbi sui rapiti vivi . fronte caldo con il libano israel carries out biggest ramallah raid in years kuna : palestinian killed , 7 settlers injured in w . ramallah - security cisjordanie : opération denvergure de larmée israélienne à ramallah 传哈马斯胡塞罕见会谈 讨论夹攻以色列 grte razzia israelischer truppen in ramallah seit jahren 以军密集轰炸加沙南部至少49人死亡 cisjordanie : opération denvergure de larmée israélienne à ramallah - 04 / 03 / 2024 israel demolishes west bank home of palestinian accused of attack israel demolishes west bank home of palestinian accused of attack palestinian authority police officers embroiled in terror | the jewish press - jewishpress . com | akiva van koningsveld | 5 adar ii 5784 – friday , march 15 , 2024 以军轰炸加沙中部和南部至少21人死亡|以军|加沙地带|以色列 _ 新浪军事 _ 新浪网 以军轰炸加沙中部和南部至少21人死亡 dozens of palestinian authority security personnel involved in terror - report palestinian authority police officers embroiled in terror grte israelische razzia in ramallah seit jahren לוחמת מג ב נפצעה קל במבצע ליד רמאללה : הגדול ביותר באזור זה שנים reaktionen auf anschlag in moskau : olaf scholz verurteilt schrecklichen terrorangriff quinto giorno di assedio allospedale di gaza : 150 morti e 500 arresti . idf : terroristi barricati in pronto soccorso μεσανατολικό : δέκα παλαιστίνιοι σκοτώθηκαν από ισραηλινά πυρά το τελευταίο 24ωρο στη δυτική όχθη i̇şgalci yahudiler filistinlilere ve mülklerine saldırdı arab sharpshooter who killed 1 , wounded 6 in binyamin was us trained | the jewish press - jewishpress . com | david israel | 15 adar ii 5784 – monday , march 25 , 2024 un human rights office - opt : ohchr opt deplores israeli security forces extra - judicial executions and unlawful killings in the occupied west bank [ en / ar ] - occupied palestinian territory ocupantes israelíes asesinan a dos adolescentes en cisjordania | noticias otevřený dopis české vládě , aby vyzvala k příměří v gaze , podepsalo 339 umělců canli taki̇p | soykırımın gölgesinde ramazan ! terör devleti i̇srail gazzede bombardımana devam ediyor izraeli kryen bastisjen më të madhe në ramallah , vrasin një 16 - vjeçar סריקות אחר המחבל מהבקעה , ייתכן שהגיע עם אופניים חשמליים לזירה gaza , violenti scontri nellospedale al - shifa . oggi allonu voto per cessate il fuoco tote nach armee - einsätzen im westjordanland la ue sancionará a colonos israelíes violentos y a hamás : abbas lo celebra un palestinien tué par larmée israélienne en cisjordanie lors dune attaque présumée par balles - xinhua הטרור מרים ראש גם בגבול ירדן , פרויקט המכשול תקוע - והנטל על החיילים רק גדל terror along the jordanian border burdens the idf netanjahu : abgesagter united states - besuch war signal an hamas netanjahu : abgesagter united states - besuch war signal an hamas guerra israele - hamas , news di oggi : violenti combattimenti in ospedale al - shifa izrael podnikl největší razii v ramalláhu za řadu let , tvrdí palestinské úřady palestinians killed in west bank amid violence surge israeli forces kill 10 palestinians in occupied west bank in 24 hours ramadan begins in israel amid tight security izrael podnikl největší razii v ramalláhu za řadu let , zemřel palestinský mladík palestinians killed in west bank amid violence surge פיגוע בבקעה : שלושה נפצעו מירי לעבר כלי רכב בכביש 90 , מצוד אחר המחבל otevřený dopis vládě čr , aby vyzvala k příměří v gaze , podepsalo 339 umělců",48,-0.15849583333333334,2
